"last_name, first_name","player_id","year","pa","bip","ba","est_ba","est_ba_minus_ba_diff","slg","est_slg","est_slg_minus_slg_diff","woba","est_woba","est_woba_minus_woba_diff"
"Farmer, Kyle","571657","2023","369","252",0.256,0.252,0.0040000000000000036,0.408,0.405,0.002999999999999947,0.316,0.313,0.0030000000000000027
"O'Hearn, Ryan","656811","2023","368","268",0.289,0.264,0.024999999999999967,0.48,0.464,0.01599999999999996,0.339,0.324,0.015000000000000013
"Rogers, Jake","668670","2023","365","216",0.221,0.227,-0.006000000000000005,0.444,0.449,-0.0050000000000000044,0.312,0.321,-0.009000000000000008
"Siri, Jose","642350","2023","364","212",0.222,0.212,0.010000000000000009,0.494,0.442,0.05199999999999999,0.319,0.298,0.02100000000000002
"Duran, Jarren","680776","2023","362","244",0.295,0.268,0.02699999999999997,0.482,0.401,0.08099999999999996,0.354,0.319,0.034999999999999976
"Trout, Mike","545361","2023","362","206",0.263,0.275,-0.01200000000000001,0.49,0.523,-0.03300000000000003,0.368,0.389,-0.02100000000000002
"Kiner-Falefa, Isiah","643396","2023","361","260",0.242,0.254,-0.01200000000000001,0.34,0.348,-0.007999999999999952,0.286,0.295,-0.009000000000000008
"Anderson, Brian","605119","2023","361","213",0.226,0.231,-0.0050000000000000044,0.368,0.391,-0.02300000000000002,0.299,0.316,-0.017000000000000015
"Moncada, Yoán","660162","2023","357","228",0.26,0.257,0.0030000000000000027,0.425,0.426,-0.0010000000000000009,0.315,0.314,0.0010000000000000009
"Baddoo, Akil","668731","2023","357","226",0.218,0.218,0,0.372,0.371,0.0010000000000000009,0.299,0.301,-0.0020000000000000018
"Vázquez, Christian","543877","2023","355","247",0.223,0.223,0,0.318,0.319,-0.0010000000000000009,0.264,0.265,-0.0010000000000000009
"Duvall, Adam","594807","2023","353","215",0.247,0.21,0.037000000000000005,0.531,0.436,0.09500000000000003,0.347,0.304,0.04299999999999998
"Bailey, Patrick","672275","2023","353","229",0.233,0.249,-0.015999999999999986,0.359,0.42,-0.061,0.282,0.313,-0.031000000000000028
"Tellez, Rowdy","642133","2023","351","230",0.215,0.238,-0.022999999999999993,0.376,0.374,0.0020000000000000018,0.288,0.306,-0.018000000000000016
"Mateo, Jorge","622761","2023","350","244",0.217,0.24,-0.022999999999999993,0.34,0.371,-0.030999999999999972,0.265,0.289,-0.023999999999999966
"Rojas, Josh","668942","2023","350","239",0.245,0.23,0.014999999999999986,0.338,0.331,0.007000000000000006,0.284,0.278,0.00599999999999995
"Walls, Taylor","670764","2023","349","212",0.201,0.2,0.0010000000000000009,0.333,0.295,0.038000000000000034,0.287,0.274,0.012999999999999956
"Buxton, Byron","621439","2023","347","199",0.207,0.212,-0.0050000000000000044,0.438,0.425,0.013000000000000012,0.311,0.316,-0.0050000000000000044
"Burleson, Alec","676475","2023","347","273",0.244,0.277,-0.03300000000000003,0.39,0.449,-0.059,0.3,0.337,-0.03700000000000003
"Arias, Gabriel","672356","2023","345","203",0.21,0.23,-0.020000000000000018,0.352,0.407,-0.05499999999999999,0.276,0.304,-0.02799999999999997
"Pratto, Nick","668472","2023","345","172",0.232,0.209,0.02300000000000002,0.353,0.339,0.013999999999999957,0.292,0.278,0.013999999999999957
"Bader, Harrison","664056","2023","344","265",0.232,0.234,-0.0020000000000000018,0.348,0.375,-0.027000000000000024,0.271,0.288,-0.01699999999999996
"Sheets, Gavin","657757","2023","344","249",0.203,0.21,-0.0069999999999999785,0.331,0.339,-0.008000000000000007,0.261,0.267,-0.006000000000000005
"Sabol, Blake","666165","2023","344","197",0.235,0.199,0.035999999999999976,0.394,0.369,0.025000000000000022,0.303,0.28,0.022999999999999965
"Díaz, Aledmys","649557","2023","344","254",0.229,0.235,-0.005999999999999978,0.337,0.327,0.010000000000000009,0.268,0.271,-0.0030000000000000027
"Garver, Mitch","641598","2023","344","214",0.27,0.255,0.015000000000000013,0.5,0.493,0.007000000000000006,0.374,0.365,0.009000000000000008
"Polanco, Jorge","593871","2023","343","217",0.255,0.25,0.0050000000000000044,0.454,0.481,-0.02699999999999997,0.34,0.348,-0.007999999999999952
"Marte, Starling","516782","2023","341","248",0.248,0.261,-0.013000000000000012,0.324,0.402,-0.07800000000000001,0.278,0.312,-0.033999999999999975
"Meyers, Jake","676694","2023","341","222",0.227,0.213,0.014000000000000012,0.382,0.357,0.025000000000000022,0.297,0.283,0.014000000000000012
"Biggio, Cavan","624415","2023","338","203",0.235,0.226,0.00899999999999998,0.37,0.37,0,0.318,0.314,0.0040000000000000036
"Waters, Drew","671221","2023","337","198",0.228,0.233,-0.0050000000000000044,0.377,0.409,-0.03199999999999997,0.296,0.311,-0.015000000000000013
"Margot, Manuel","622534","2023","336","259",0.264,0.262,0.0020000000000000018,0.376,0.368,0.008000000000000007,0.299,0.301,-0.0020000000000000018
"Jeffers, Ryan","680777","2023","335","199",0.276,0.233,0.04300000000000001,0.49,0.432,0.057999999999999996,0.369,0.333,0.035999999999999976
"Bryant, Kris","592178","2023","335","232",0.233,0.245,-0.011999999999999983,0.367,0.413,-0.045999999999999985,0.302,0.323,-0.02100000000000002
"Bethancourt, Christian","542194","2023","332","228",0.225,0.215,0.010000000000000009,0.381,0.376,0.0050000000000000044,0.271,0.266,0.0050000000000000044
"Gallo, Joey","608336","2023","332","140",0.177,0.149,0.027999999999999997,0.44,0.399,0.04099999999999998,0.32,0.295,0.025000000000000022
"Senzel, Nick","669222","2023","330","229",0.236,0.245,-0.009000000000000008,0.399,0.367,0.03200000000000003,0.302,0.296,0.006000000000000005
"Cabrera, Oswaldo","665828","2023","330","231",0.211,0.211,0,0.299,0.309,-0.010000000000000009,0.256,0.259,-0.0030000000000000027
"Benson, Will","666181","2023","329","185",0.275,0.23,0.04500000000000001,0.498,0.398,0.09999999999999998,0.369,0.321,0.04799999999999999
"Gurriel, Yuli","493329","2023","329","258",0.245,0.237,0.008000000000000007,0.359,0.32,0.03899999999999998,0.287,0.273,0.013999999999999957
"Allen, Nick","669397","2023","329","259",0.221,0.221,0,0.287,0.288,-0.0010000000000000009,0.245,0.25,-0.0050000000000000044
"Neto, Zach","687263","2023","329","216",0.225,0.226,-0.0010000000000000009,0.377,0.403,-0.026000000000000023,0.302,0.312,-0.010000000000000009
"Segura, Jean","516416","2023","326","255",0.219,0.239,-0.01999999999999999,0.279,0.34,-0.061,0.25,0.281,-0.031000000000000028
"Julks, Corey","667452","2023","323","225",0.245,0.248,-0.0030000000000000027,0.352,0.373,-0.02100000000000002,0.286,0.295,-0.009000000000000008
"Moniak, Mickey","666160","2023","323","198",0.28,0.248,0.03200000000000003,0.495,0.45,0.044999999999999984,0.339,0.308,0.031000000000000028
"Fortes, Nick","663743","2023","323","240",0.204,0.21,-0.006000000000000005,0.299,0.324,-0.025000000000000022,0.251,0.262,-0.01100000000000001
"Crawford, Brandon","543063","2023","320","207",0.194,0.219,-0.024999999999999994,0.314,0.379,-0.065,0.26,0.294,-0.033999999999999975
"Vogelbach, Daniel","596129","2023","319","194",0.233,0.229,0.0040000000000000036,0.404,0.401,0.0030000000000000027,0.327,0.324,0.0030000000000000027
"Kirilloff, Alex","666135","2023","319","204",0.27,0.261,0.009000000000000008,0.445,0.425,0.020000000000000018,0.343,0.334,0.009000000000000008
"Wendle, Joey","621563","2023","318","236",0.212,0.233,-0.02100000000000002,0.306,0.326,-0.020000000000000018,0.242,0.263,-0.02100000000000002
"Monasterio, Andruw","655316","2023","315","218",0.259,0.248,0.01100000000000001,0.348,0.373,-0.025000000000000022,0.302,0.308,-0.006000000000000005
"Miller, Owen","680911","2023","314","234",0.261,0.252,0.009000000000000008,0.371,0.359,0.01200000000000001,0.292,0.288,0.0040000000000000036
"Isbel, Kyle","664728","2023","313","236",0.24,0.247,-0.007000000000000006,0.38,0.375,0.0050000000000000044,0.286,0.289,-0.0030000000000000027
"McCarthy, Jake","664983","2023","312","219",0.243,0.242,0.0010000000000000009,0.326,0.331,-0.0050000000000000044,0.289,0.293,-0.0040000000000000036
"Hicks, Aaron","543305","2023","312","201",0.253,0.207,0.04600000000000001,0.383,0.304,0.07900000000000001,0.326,0.282,0.04400000000000004
"Escobar, Eduardo","500871","2023","309","213",0.226,0.203,0.022999999999999993,0.344,0.299,0.044999999999999984,0.267,0.244,0.02300000000000002
"Thaiss, Matt","642136","2023","307","182",0.214,0.232,-0.018000000000000016,0.34,0.408,-0.06799999999999995,0.295,0.331,-0.03600000000000003
"Montero, Elehuris","660707","2023","307","176",0.243,0.2,0.04299999999999998,0.426,0.313,0.11299999999999999,0.306,0.253,0.05299999999999999
"Vargas, Miguel","678246","2023","304","200",0.195,0.21,-0.014999999999999986,0.367,0.353,0.014000000000000012,0.295,0.304,-0.009000000000000008
"Bleday, JJ","668709","2023","303","187",0.195,0.201,-0.006000000000000005,0.355,0.348,0.007000000000000006,0.297,0.298,-0.0010000000000000009
"Wisdom, Patrick","621550","2023","302","159",0.205,0.218,-0.013000000000000012,0.5,0.498,0.0020000000000000018,0.333,0.339,-0.006000000000000005
"Jansen, Danny","643376","2023","301","206",0.228,0.219,0.009000000000000008,0.474,0.421,0.05299999999999999,0.336,0.316,0.020000000000000018
"Sosa, Edmundo","624641","2023","300","208",0.251,0.238,0.013000000000000012,0.427,0.392,0.034999999999999976,0.309,0.292,0.017000000000000015
"Gelof, Zack","680869","2023","300","189",0.267,0.253,0.014000000000000012,0.504,0.448,0.055999999999999994,0.357,0.333,0.023999999999999966
"Madrigal, Nick","663611","2023","294","251",0.263,0.275,-0.01200000000000001,0.352,0.337,0.014999999999999958,0.294,0.294,0
"Maton, Nick","665155","2023","293","179",0.173,0.191,-0.018000000000000016,0.305,0.331,-0.026000000000000023,0.268,0.285,-0.01699999999999996
"Haase, Eric","606992","2023","293","195",0.201,0.217,-0.015999999999999986,0.281,0.309,-0.02799999999999997,0.233,0.253,-0.01999999999999999
"Diaz, Jordan","672478","2023","293","204",0.221,0.227,-0.006000000000000005,0.364,0.37,-0.006000000000000005,0.278,0.285,-0.006999999999999951
"d'Arnaud, Travis","518595","2023","292","201",0.225,0.253,-0.027999999999999997,0.397,0.438,-0.04099999999999998,0.297,0.326,-0.029000000000000026
