"id","name","swings_competitive","percent_swings_competitive","contact","avg_bat_speed","hard_swing_rate","squared_up_per_bat_contact","squared_up_per_swing","blast_per_bat_contact","blast_per_swing","swing_length","swords","batter_run_value","whiffs","whiff_per_swing","batted_ball_events","batted_ball_event_per_swing"
670541,"Alvarez, Yordan",379,0.9176755447941889,301,"76.710228786",0.7044854881266491,0.31893687707641194,0.2532981530343008,0.23255813953488372,0.18469656992084432,"7.643810878",0,4.653706416544747,78,0.20580474934036938,165,0.43535620052770446
682829,"De La Cruz, Elly",481,0.9092627599243857,346,"76.650126299",0.6486486486486485,0.2514450867052023,0.18087318087318088,0.16473988439306358,0.11850311850311851,"7.492709958",7,-14.940185824542072,135,0.2806652806652807,148,0.3076923076923077
621550,"Wisdom, Patrick",132,0.9041095890410958,93,"76.635899545",0.7196969696969696,0.34408602150537637,0.24242424242424243,0.23655913978494625,0.16666666666666666,"8.031838244",3,3.8434186520774736,39,0.29545454545454547,46,0.3484848484848485
592450,"Judge, Aaron",349,0.9041450777202072,237,"76.401896103",0.6790830945558739,0.3881856540084388,0.2636103151862464,0.28270042194092826,0.19197707736389685,"8.084411124",2,0.5073368326474919,112,0.3209169054441261,118,0.33810888252148996
663624,"Mountcastle, Ryan",358,0.9226804123711341,267,"76.348456955",0.6648044692737431,0.2883895131086142,0.21508379888268156,0.17228464419475656,0.12849162011173185,"7.372378113",3,-0.04788305786629021,91,0.2541899441340782,135,0.3770949720670391
663586,"Riley, Austin",539,0.9013377926421404,391,"76.268195195",0.6549165120593693,0.30179028132992325,0.2189239332096475,0.18925831202046037,0.137291280148423,"7.462327236",11,10.038882503803215,148,0.274582560296846,182,0.33766233766233766
621439,"Buxton, Byron",94,0.9038461538461539,67,"76.216353298",0.648936170212766,0.23880597014925373,0.1702127659574468,0.13432835820895522,0.09574468085106383,"8.000030638",4,-3.2807108693652944,27,0.2872340425531915,24,0.2553191489361702
575929,"Contreras, Willson",279,0.9,196,"76.207965233",0.6200716845878136,0.29591836734693877,0.2078853046594982,0.2193877551020408,0.15412186379928317,"7.689032554",7,6.54182095307714,83,0.2974910394265233,101,0.36200716845878134
595751,"Alfaro, Jorge",23,0.8846153846153846,14,"76.126087826",0.6956521739130436,0.2857142857142857,0.17391304347826086,0.2857142857142857,0.17391304347826086,"7.39150913",1,-3.0710013776755742,9,0.391304347826087,11,0.4782608695652174
669394,"Burger, Jake",489,0.9055555555555556,341,"76.036329489",0.6462167689161553,0.3255131964809384,0.22699386503067484,0.23460410557184752,0.16359918200409,"7.662833865",9,4.394314755131639,148,0.30265848670756645,176,0.35991820040899797
641525,"Dixon, Brandon",13,0.9285714285714286,10,"75.874809231",0.6923076923076923,0,0,0,0,"7.612604615",0,-1.0954402704410369,3,0.23076923076923078,4,0.3076923076923077
