id,Name,est_woba,xwOBA_pred,Swing+
596019,Francisco Lindor,0.355,0.33895824510815803,110.02817740219918
608070,José Ramírez,0.351,0.33877050000580167,109.98474828943503
691016,Tyler Soderstrom,0.352,0.3387074167086554,109.97015588946873
664023,Ian Happ,0.363,0.33862279531233086,109.95058130607288
660271,Shohei Ohtani,0.439,0.3384318451923914,109.90641081008071
545341,Randal Grichuk,0.338,0.33832922360056633,109.88267242954524
640492,José Azocar,0.34,0.3381507329467542,109.84138405166235
680776,Jarren Duran,0.333,0.3379067910191016,109.78495551450766
673357,Luis Robert Jr.,0.33,0.3377536474672742,109.74953041687294
672695,Geraldo Perdomo,0.361,0.3374568148909312,109.68086723861542
641857,Ryan McMahon,0.333,0.3371766130098686,109.61605106532161
682177,Daniel Schneemann,0.308,0.337118912927337,109.60270390814246
685744,Kenedy Corona,0.375,0.3367820748884152,109.52478668424695
669357,Nolan Gorman,0.305,0.33650976173158337,109.46179532709952
694192,Jackson Chourio,0.319,0.33629454157217636,109.41201069647697
672386,Alejandro Kirk,0.368,0.3362848388065855,109.40976625709783
677951,Bobby Witt Jr.,0.377,0.3362360837228499,109.39848825302313
682829,Elly De La Cruz,0.33,0.3361489050557526,109.37832212290056
642215,Weston Wilson,0.339,0.3356116469144142,109.25404381091906
664040,Brandon Lowe,0.347,0.3355247982307257,109.23395401241041
643446,Jeff McNeil,0.334,0.3347735494157493,109.06017547390233
669127,Shea Langeliers,0.338,0.33469090622977316,109.04105848923588
681624,Andy Pages,0.325,0.33457184930809997,109.01351829558075
656811,Ryan O'Hearn,0.35,0.3343915736638489,108.97181701451113
608324,Alex Bregman,0.345,0.3340608025224153,108.89530318261805
694208,Moisés Ballesteros,0.342,0.33380048063655493,108.83508564088667
666160,Mickey Moniak,0.352,0.33376951529131804,108.82792275113245
663609,Luken Baker,0.33,0.3327880551521781,108.60089183250258
667472,Dane Myers,0.317,0.3327567106741636,108.59364124192453
670242,Matt Wallner,0.335,0.33237341193038716,108.50497674864668
665833,Oneil Cruz,0.333,0.3323508516036456,108.49975810399626
670042,Luke Raley,0.32,0.3321600700752131,108.45562660651578
647304,Josh Naylor,0.339,0.33200271918317065,108.41922826883197
694384,Nolan Schanuel,0.333,0.33151380653843754,108.30613321541412
592518,Manny Machado,0.366,0.3314724789124433,108.29657332752863
672820,Lenyn Sosa,0.338,0.33140586966594254,108.28116530654108
671218,Heliot Ramos,0.329,0.33116390711852917,108.22519463873442
695657,Colson Montgomery,0.355,0.33107824261717284,108.20537876475106
694671,Wyatt Langford,0.353,0.3308116794423584,108.14371749086168
665862,Jazz Chisholm Jr.,0.358,0.3307046203006295,108.11895261827527
571970,Max Muncy,0.388,0.3306914871417185,108.11591466185384
649966,Luis Urías,0.304,0.3306878333149173,108.11506946027906
682663,Agustín Ramírez,0.34,0.3306284071715666,108.10132303148639
621043,Carlos Correa,0.345,0.3305471904480297,108.0825360154708
669477,Casey Schmitt,0.334,0.3304469054463422,108.05933813391661
650559,Bryan De La Cruz,0.248,0.33011661752147836,107.98293607946344
686469,Vinnie Pasquantino,0.345,0.32990306384270024,107.93353693839158
643565,Mike Tauchman,0.324,0.32978998615986344,107.90737985957891
641355,Cody Bellinger,0.332,0.3297733031450633,107.90352075208739
573262,Mike Yastrzemski,0.336,0.32939069527695936,107.81501607185986
688760,Blaine Crim,0.329,0.32931206367926213,107.79682704599256
624424,Michael Conforto,0.341,0.3292903146363532,107.79179606715397
691777,Max Muncy,0.277,0.3291614953923878,107.76199765749028
672640,Otto Lopez,0.339,0.32913983975017225,107.75698828405814
683748,Victor Mesa Jr.,0.35,0.32885215455246186,107.690441073318
671739,Michael Harris II,0.323,0.328527168419838,107.61526542706483
665877,José Fermín,0.34,0.3283623745775939,107.57714538948285
669394,Jake Burger,0.333,0.32813094207798604,107.52361052760573
